Source,Target,Weight
black_sesame_seed,safflower_seed,17
black_sesame_seed,cruciferae_seed,17
black_sesame_seed,seed,17
black_sesame_seed,rapeseed,17
black_sesame_seed,dill_seed,17
safflower_seed,nutmeg,12
safflower_seed,seed,17
safflower_seed,dill_seed,17
safflower_seed,cruciferae_seed,17
safflower_seed,rapeseed,17
cruciferae_seed,nutmeg,12
cruciferae_seed,ginger,10
cruciferae_seed,seed,17
cruciferae_seed,dill_seed,17
cruciferae_seed,rapeseed,17
seed,nutmeg,12
seed,ginger,10
seed,rapeseed,17
seed,dill_seed,17
rapeseed,nutmeg,12
rapeseed,dill_seed,17
dill_seed,nutmeg,12
dill_seed,ginger,12
rose_wine,cheddar_cheese,66
rose_wine,gruyere_cheese,68
rose_wine,romano_cheese,62
rose_wine,grape,57
rose_wine,provolone_cheese,64
rose_wine,camembert_cheese,64
rose_wine,limburger_cheese,63
rose_wine,mozzarella_cheese,63
rose_wine,brandy,18
rose_wine,sauvignon_grape,57
rose_wine,pineapple,50
rose_wine,cocoa,66
rose_wine,wine,128
rose_wine,blue_cheese,67
rose_wine,parmesan_cheese,72
rose_wine,bantu_beer,89
rose_wine,apple_brandy,12
rose_wine,cabernet_sauvignon_grape,58
rose_wine,cooked_apple,75
rose_wine,beer,89
rose_wine,muscadine_grape,58
rose_wine,jamaican_rum,80
rose_wine,red_wine,132
rose_wine,rum,78
rose_wine,cabernet_sauvignon_wine,132
rose_wine,domiati_cheese,63
rose_wine,black_tea,67
rose_wine,swiss_cheese,66
rose_wine,green_tea,64
rose_wine,sauvignon_blanc_grape,59
rose_wine,roasted_green_tea,64
rose_wine,passion_fruit,55
rose_wine,botrytized_wine,128
rose_wine,feta_cheese,63
rose_wine,apple,74
rose_wine,sparkling_wine,130
rose_wine,strawberry,74
rose_wine,port_wine,130
rose_wine,muscat_grape,58
rose_wine,whiskey,62
rose_wine,honey,31
rose_wine,concord_grape,58
rose_wine,cider,46
rose_wine,mango,55
rose_wine,roasted_cocoa,69
rose_wine,sherry,130
rose_wine,cognac,86
rose_wine,white_wine,133
rose_wine,tomato,57
rose_wine,champagne_wine,128
cheddar_cheese,grilled_beef,86
cheddar_cheese,parmesan_cheese,134
cheddar_cheese,black_tea,70
cheddar_cheese,bacon,65
cheddar_cheese,sparkling_wine,67
cheddar_cheese,raw_peanut,54
cheddar_cheese,russian_cheese,127
cheddar_cheese,roasted_beef,88
cheddar_cheese,limburger_cheese,127
cheddar_cheese,cheese,127
cheddar_cheese,jamaican_rum,84
