Source,Target,Weight
black_sesame_seed,nutmeg,12
black_sesame_seed,california_pepper,5
black_sesame_seed,eucalyptus_oil,4
black_sesame_seed,safflower_seed,17
black_sesame_seed,corn_mint_oil,5
black_sesame_seed,cayenne,5
black_sesame_seed,oregano,1
black_sesame_seed,french_peppermint,7
black_sesame_seed,calytrix_tetragona_oil,1
black_sesame_seed,berry_juice,1
black_sesame_seed,sage,3
black_sesame_seed,chicory_root,2
black_sesame_seed,chamaecyparis_formosensis_oil,1
black_sesame_seed,winter_savory,1
black_sesame_seed,tea_tree_oil,2
black_sesame_seed,cumin,6
black_sesame_seed,black_pepper,5
black_sesame_seed,benzoin,2
black_sesame_seed,tabasco_pepper,5
black_sesame_seed,peppermint,7
black_sesame_seed,cruciferae_seed,17
black_sesame_seed,monarda_punctata_oil,1
black_sesame_seed,peppermint_oil,5
black_sesame_seed,fennel,3
black_sesame_seed,parsley,7
black_sesame_seed,scotch_spearmint_oil,4
black_sesame_seed,hernandia_peltata_oil,1
black_sesame_seed,ocimum_viride,1
black_sesame_seed,lantana_camara_oil,1
black_sesame_seed,bitter_fennel,1
black_sesame_seed,myrtle,4
black_sesame_seed,eucalyptus_macarthurii,1
black_sesame_seed,malagueta_pepper,5
black_sesame_seed,eucalyptus_bakeries_oil,1
black_sesame_seed,cymbopogon_sennaarensis,1
black_sesame_seed,calytrix_tetragona,1
black_sesame_seed,thymus,6
black_sesame_seed,mandarin_peel,3
black_sesame_seed,lime_juice,1
black_sesame_seed,seed,17
black_sesame_seed,buchu,4
black_sesame_seed,long_pepper,5
black_sesame_seed,buchu_oil,4
black_sesame_seed,guinea_pepper,5
black_sesame_seed,seed_oil,3
black_sesame_seed,capsicum,5
black_sesame_seed,leaf,6
black_sesame_seed,basil_oil,1
black_sesame_seed,roasted_spanish_peanut,1
black_sesame_seed,root,1
black_sesame_seed,eucalyptus_dives,1
black_sesame_seed,rapeseed,17
black_sesame_seed,animal,1
black_sesame_seed,dried_parsley,7
black_sesame_seed,celery_seed,3
black_sesame_seed,tuber,1
black_sesame_seed,cinnamon,7
black_sesame_seed,chive,3
black_sesame_seed,laurel,7
black_sesame_seed,capsicum_annuum,5
black_sesame_seed,ashanti_pepper,5
black_sesame_seed,calabash_nutmeg,3
black_sesame_seed,yeast,1
black_sesame_seed,rice_husk,1
black_sesame_seed,finocchoi_fennel_oil,1
black_sesame_seed,thai_pepper,5
black_sesame_seed,pepper,5
black_sesame_seed,corn_mint,5
black_sesame_seed,origanum_floribundum,1
black_sesame_seed,hinoki_oil,1
black_sesame_seed,cumin_fruit_oil,1
black_sesame_seed,eucalyptus,6
black_sesame_seed,green_bell_pepper,5
black_sesame_seed,peru_balsam,2
black_sesame_seed,andropogon_jwarancusa,1
black_sesame_seed,oregano_oil,1
black_sesame_seed,orthodon_citraliferum,1
black_sesame_seed,satureia_thymera,1
black_sesame_seed,turmeric,4
black_sesame_seed,perovski_abrotanoides_oil,1
black_sesame_seed,clove_oil,2
black_sesame_seed,tahiti_vanilla,2
black_sesame_seed,feijoa,4
black_sesame_seed,caraway,2
black_sesame_seed,japanese_peppermint_oil,1
black_sesame_seed,lovage,7
black_sesame_seed,dill,9
black_sesame_seed,lovage_leaf,1
black_sesame_seed,neroli_bigarade,1
black_sesame_seed,callitris,1
black_sesame_seed,lime_peel_oil,3
black_sesame_seed,ceylon_tea_cinnamon_leaf,1
black_sesame_seed,sperm_whale_oil,1
black_sesame_seed,berry_bud,1
black_sesame_seed,dill_seed,17
black_sesame_seed,eucalyptus_globulus_oil,1
black_sesame_seed,java_citronella_oil,2
black_sesame_seed,rosemary,5
black_sesame_seed,scotch_spearmint,4
black_sesame_seed,fennel_oil,1
black_sesame_seed,mentha_silvestris_oil,1
black_sesame_seed,mandarin_peel_oil,3
black_sesame_seed,japanese_peppermint,7
black_sesame_seed,ethiopian_pepper,5
black_sesame_seed,mace,6
black_sesame_seed,echinacea,1
nutmeg,rose_wine,8
nutmeg,myrtleberry,8
nutmeg,tuna,6
nutmeg,black_tea,18
nutmeg,japanese_mint,11
nutmeg,french_lavender,9
nutmeg,fennel,7
nutmeg,wild_berry,8
nutmeg,grape,8
nutmeg,raw_beef,5
nutmeg,corn_mint_oil,7
nutmeg,soybean,8
nutmeg,bell_pepper,18
nutmeg,corn_mint,8
nutmeg,european_cranberry,14
nutmeg,thai_pepper,17
nutmeg,concord_grape,8
nutmeg,wild_strawberry,8
nutmeg,black_pepper,17
nutmeg,gruyere_cheese,7
nutmeg,orange,19
nutmeg,kola_tea,17
nutmeg,cooked_apple,9
nutmeg,anise,5
nutmeg,wine,8
nutmeg,litchi,7
nutmeg,muscat_grape,8
nutmeg,carrot,11
nutmeg,kaffir_lime,14
nutmeg,fatty_fish,6
nutmeg,smoked_fish,6
nutmeg,capsicum_annuum,17
nutmeg,fried_beef,5
nutmeg,long_pepper,17
nutmeg,raw_potato,5
nutmeg,swiss_cheese,5
nutmeg,banana,7
nutmeg,loquat,5
nutmeg,starfruit,10
nutmeg,huckleberry,8
nutmeg,peppermint_oil,6
nutmeg,apple,9
nutmeg,vanilla,7
nutmeg,sauvignon_grape,8
nutmeg,cognac,10
nutmeg,cowberry,8
nutmeg,sauvignon_blanc_grape,8
nutmeg,lemon_balm,9
nutmeg,crownberry,8
nutmeg,red_wine,9
nutmeg,sherry,9
nutmeg,smoked_salmon,6
nutmeg,sweetfish,5
nutmeg,raw_fatty_fish,6
nutmeg,coriander,16
nutmeg,red_bean,7
nutmeg,italian_lime,14
nutmeg,boiled_beef,5
nutmeg,peppermint,11
nutmeg,crisp_bread,5
