Region,Number of Ingredients,Number of Recipes with N amount of ingredients
African,1,1
African,2,5
African,3,6
African,4,9
African,5,20
African,6,24
African,7,24
African,8,34
African,9,31
African,10,30
African,11,34
African,12,30
African,13,23
African,14,24
African,15,13
African,16,21
African,17,4
African,18,4
African,19,6
African,20,3
African,21,1
African,22,1
African,23,3
African,25,1
EastAsian,1,28
EastAsian,2,47
EastAsian,3,98
EastAsian,4,137
EastAsian,5,166
EastAsian,6,191
EastAsian,7,268
EastAsian,8,279
EastAsian,9,248
EastAsian,10,254
EastAsian,11,189
EastAsian,12,141
EastAsian,13,130
EastAsian,14,121
EastAsian,15,70
EastAsian,16,59
EastAsian,17,53
EastAsian,18,17
EastAsian,19,10
EastAsian,20,2
EastAsian,21,1
EastAsian,22,1
EastAsian,24,1
EastAsian,25,1
EasternEuropean,1,1
EasternEuropean,2,8
EasternEuropean,3,9
EasternEuropean,4,24
EasternEuropean,5,23
EasternEuropean,6,53
EasternEuropean,7,50
EasternEuropean,8,51
EasternEuropean,9,39
EasternEuropean,10,35
EasternEuropean,11,27
EasternEuropean,12,20
EasternEuropean,13,12
EasternEuropean,14,11
EasternEuropean,15,7
EasternEuropean,16,4
EasternEuropean,17,3
EasternEuropean,18,1
EasternEuropean,19,1
EasternEuropean,28,1
EasternEuropean,32,1
LatinAmerican,1,7
LatinAmerican,2,47
LatinAmerican,3,90
LatinAmerican,4,100
LatinAmerican,5,191
LatinAmerican,6,233
LatinAmerican,7,256
LatinAmerican,8,302
LatinAmerican,9,286
LatinAmerican,10,350
LatinAmerican,11,254
LatinAmerican,12,237
LatinAmerican,13,210
LatinAmerican,14,123
LatinAmerican,15,77
LatinAmerican,16,53
LatinAmerican,17,41
LatinAmerican,18,23
LatinAmerican,19,17
LatinAmerican,20,8
LatinAmerican,21,5
LatinAmerican,22,3
LatinAmerican,23,1
LatinAmerican,24,2
LatinAmerican,25,1
MiddleEastern,1,4
MiddleEastern,2,9
MiddleEastern,3,30
MiddleEastern,4,47
MiddleEastern,5,52
MiddleEastern,6,58
MiddleEastern,7,72
MiddleEastern,8,89
MiddleEastern,9,73
MiddleEastern,10,57
MiddleEastern,11,44
MiddleEastern,12,33
MiddleEastern,13,23
MiddleEastern,14,12
MiddleEastern,15,13
MiddleEastern,16,7
MiddleEastern,17,10
MiddleEastern,18,4
MiddleEastern,19,3
MiddleEastern,20,1
MiddleEastern,21,3
MiddleEastern,24,1
NorthAmerican,1,261
NorthAmerican,2,878
NorthAmerican,3,1812
NorthAmerican,4,2975
NorthAmerican,5,4305
NorthAmerican,6,5015
NorthAmerican,7,5309
NorthAmerican,8,5035
NorthAmerican,9,4073
NorthAmerican,10,3290
NorthAmerican,11,2411
NorthAmerican,12,1848
NorthAmerican,13,1395
NorthAmerican,14,998
NorthAmerican,15,710
NorthAmerican,16,490
NorthAmerican,17,280
NorthAmerican,18,158
NorthAmerican,19,118
NorthAmerican,20,74
NorthAmerican,21,33
NorthAmerican,22,14
NorthAmerican,23,18
NorthAmerican,24,11
NorthAmerican,25,3
NorthAmerican,26,4
NorthAmerican,27,1
NorthAmerican,28,1
NorthAmerican,29,3
NorthAmerican,30,1
NorthernEuropean,1,1
NorthernEuropean,2,4
NorthernEuropean,3,22
NorthernEuropean,4,38
NorthernEuropean,5,38
NorthernEuropean,6,35
NorthernEuropean,7,27
NorthernEuropean,8,20
NorthernEuropean,9,18
NorthernEuropean,10,16
NorthernEuropean,11,10
NorthernEuropean,12,6
NorthernEuropean,13,2
NorthernEuropean,14,4
NorthernEuropean,15,4
NorthernEuropean,16,2
NorthernEuropean,17,2
NorthernEuropean,18,1
SouthAsian,1,7
SouthAsian,2,9
SouthAsian,3,21
SouthAsian,4,28
SouthAsian,5,34
SouthAsian,6,50
SouthAsian,7,37
SouthAsian,8,55
SouthAsian,9,38
SouthAsian,10,44
SouthAsian,11,52
SouthAsian,12,37
SouthAsian,13,47
SouthAsian,14,44
SouthAsian,15,39
SouthAsian,16,23
SouthAsian,17,15
SouthAsian,18,21
SouthAsian,19,9
SouthAsian,20,4
SouthAsian,21,2
SouthAsian,22,1
SouthAsian,23,3
SouthAsian,24,1
SoutheastAsian,1,3
SoutheastAsian,2,3
SoutheastAsian,3,7
SoutheastAsian,4,16
SoutheastAsian,5,15
SoutheastAsian,6,31
SoutheastAsian,7,26
SoutheastAsian,8,29
SoutheastAsian,9,30
SoutheastAsian,10,53
SoutheastAsian,11,35
SoutheastAsian,12,35
SoutheastAsian,13,33
SoutheastAsian,14,29
SoutheastAsian,15,21
SoutheastAsian,16,26
SoutheastAsian,17,21
SoutheastAsian,18,9
SoutheastAsian,19,16
SoutheastAsian,20,5
SoutheastAsian,21,5
SoutheastAsian,22,5
SoutheastAsian,23,2
SoutheastAsian,24,2
SouthernEuropean,1,19
SouthernEuropean,2,76
SouthernEuropean,3,108
SouthernEuropean,4,218
SouthernEuropean,5,308
SouthernEuropean,6,380
SouthernEuropean,7,438
SouthernEuropean,8,494
SouthernEuropean,9,489
SouthernEuropean,10,426
SouthernEuropean,11,335
SouthernEuropean,12,239
SouthernEuropean,13,215
SouthernEuropean,14,143
SouthernEuropean,15,113
SouthernEuropean,16,72
SouthernEuropean,17,46
SouthernEuropean,18,20
SouthernEuropean,19,17
SouthernEuropean,20,15
SouthernEuropean,21,3
SouthernEuropean,22,2
SouthernEuropean,23,1
SouthernEuropean,24,2
SouthernEuropean,32,1
WesternEuropean,1,22
WesternEuropean,2,57
WesternEuropean,3,117
WesternEuropean,4,219
WesternEuropean,5,289
WesternEuropean,6,333
WesternEuropean,7,322
WesternEuropean,8,270
WesternEuropean,9,246
WesternEuropean,10,182
WesternEuropean,11,169
WesternEuropean,12,115
WesternEuropean,13,84
WesternEuropean,14,70
WesternEuropean,15,53
WesternEuropean,16,32
WesternEuropean,17,27
WesternEuropean,18,17
WesternEuropean,19,18
WesternEuropean,20,5
WesternEuropean,21,6
WesternEuropean,22,3
WesternEuropean,23,2
WesternEuropean,24,1
